asn,cc,name,cone,unsigned_customers,impact_score
6939,US,Hurricane Electric LLC,79854,31932,2549897928
3356,US,Lumen (Level 3),74023,28886,2138228378
174,US,"Cogent Communications, LLC",73342,25149,1844477958
1299,SE,Arelion (fka. Telia Carrier),70874,25861,1832872514
3257,US,GTT Communications Inc.,69204,24411,1689338844
6461,US,Zayo Bandwidth,71737,23544,1688975928
2914,US,"NTT America, Inc.",68256,22436,1531391616
4637,HK,Telstra International Limited,66534,22436,1492756824
6762,IT,Telecom Italia Sparkle (Seabone),65544,22678,1486406832
6453,US,TATA Communications (America) Inc,67132,21996,1476635472
3491,HK,PCCW Global (HK) Ltd.,66592,21074,1403359808
5511,FR,Orange S.A.,61062,21284,1299643608
3320,DE,Deutsche Telekom AG,66584,19072,1269890048
1273,EU,Vodafone Group PLC,62062,20051,1244405162
12956,ES,Telxius (Telefonica Global),61269,20091,1230955479
4134,CN,China Telecom Backbone,65119,18761,1221697559
6830,NL,Liberty Global Europe Holding B.V.,61620,19674,1212311880
701,US,Verizon Business,68366,13320,910635120
9002,GB,RETN Limited,46051,17498,805800398
4837,CN,China Unicom Backbone,47113,11992,564979096
4809,CN,China Telecom Next Generation Carrier Network,64834,8085,524182890
7018,US,"AT&T Enterprises, LLC",69063,4251,293586813
34927,CH,iFog GmbH,34152,6439,219904728
20485,RU,TransTeleCom JSC,32970,6633,218690010
33891,DE,Core-Backbone GmbH,34392,5812,199886304
3216,RU,Vimpelcom PJSC,25976,4661,121074136
7922,US,"Comcast Cable Communications, LLC",21236,5669,120386884
20473,US,"The Constant Company, LLC",16668,2634,43903512
7713,ID,PT Telkom Indonesia Tbk,3545,10029,35552805
12389,RU,Rostelecom PJSC,11475,2569,29479275
38255,CN,China Education and Research Network (CERNET),4183,4182,17493306
52468,PA,UFINET PANAMA S.A.,5670,2431,13783770
3303,CH,Swisscom (Schweiz) AG,9224,1340,12360160
7575,AU,Australian Academic and Research Network (AARNet),8318,1343,11171074
9498,IN,Bharti Airtel Ltd.,7002,1581,11070162
208972,TR,GIBIRNet Iletisim,8127,1304,10597608
8218,FR,Zayo Europe,7426,863,6408638
8220,GB,COLT,4703,1236,5812908
8359,RU,MTS PJSC,4953,1163,5760339
58057,CH,Securebit AG,5934,773,4586982
15830,NL,"Equinix, Inc.",3591,961,3450951
31133,RU,MegaFon PJSC,2773,1180,3272140
16735,BR,Algar Telecom,2020,1250,2525000
32787,US,Akamai (Prolexic),2764,844,2332816
1103,NL,SURF B.V.,6177,364,2248428
13030,CH,Init7 (Switzerland) Ltd.,5186,431,2235166
22652,CA,Videotron Ltee,3987,534,2129058
4755,IN,TATA Communications (formerly VSNL),2522,763,1924286
29075,FR,IELO-LIAZO SERVICES SAS,4079,463,1888577
852,CA,TELUS Communications Inc.,2095,786,1646670
9929,CN,China Unicom Industrial Internet Backbone,1748,835,1459580
30844,GB,Liquid Intelligent Technologies ,564,2434,1372776
53062,BR,GGNET TELECOMUNICACOES LTDA,1552,808,1254016
46887,US,Zayo Bandwidth,1379,893,1231447
4230,BR,Claro (Embratel),1207,1018,1228726
5405,DE,Inter.link GmbH,2450,388,950600
4766,KR,Korea Telecom,1302,667,868434
1031,US,PEER 1031 LLC,1286,604,776744
9304,HK,HGC Global Communications Limited,2213,326,721438
60068,GB,Datacamp Limited (CDN77 / DataPacket),753,751,565503
1764,AT,Next Layer Telecommunications,2117,246,520782
13786,US,"Seaborn (Seabras USA, LLC)",1023,485,496155
64073,NZ,Vetta Group,1690,283,478270
52025,GB,ParadoxNetworks Limited,1377,330,454410
9049,RU,"JSC ""ER-Telecom Holding""",925,476,440300
23764,HK,China Telecom Global,945,434,410130
205794,CN,JINZE YANG,1550,254,393700
35598,RU,INETCOM CARRIER LLC,884,433,382772
14789,US,"Cloudflare, Inc.",1252,301,376852
4826,AU,Vocus Connect International Backbone,880,340,299200
12741,PL,Netia SA,784,375,294000
21859,US,Zenlayer Inc,1256,225,282600
42708,SE,Glesys AB,2069,135,279315
62255,SI,BiMajLink d.o.o.,747,372,277884
61832,BR,Giga+ Empresas,685,399,273315
8447,AT,A1 Telekom Austria AG,1130,225,254250
9930,MY,TIME dotCom Bhd,2348,106,248888
9318,KR,SK Broadband Co Ltd,551,445,245195
10429,BR,Vivo (Telefônica Brasil),518,432,223776
50629,DE,LWLcom GmbH,1216,182,221312
209,US,Lumen (ex. Qwest),523,394,206062
3786,KR,LG DACOM Corporation,468,430,201240
577,CA,Bell Canada,719,276,198444
1257,EU,Tele2 Sverige AB,1151,170,195670
22773,US,Cox Communications Inc.,562,315,177030
137409,AU,GSL Networks Pty LTD,923,178,164294
61568,BR,ALOO TELECOM - FSF TECNOLOGIA SA,530,303,160590
9808,CN,China Mobile Backbone,2366,63,149058
37662,MU,West Indian Ocean Cable Company (WIOCC),479,290,138910
267613,BR,ELETRONET S.A.,496,274,135904
271253,BR,LINK BRASIL TELECOMUNICACOES LTDA,486,269,130734
3223,GB,Voxility LLP,679,161,109319
28917,LT,"Fiord Networks, UAB",499,213,106287
6327,CA,Shaw Communications,607,169,102583
23520,US,"Columbus Networks USA, Inc.",634,156,98904
20804,PL,Exatel S.A.,607,158,95906
3549,US,Lumen (fka. Global Crossing),432,220,95040
25091,CH,IP-Max SA,723,130,93990
212895,DE,Johannes Ernst,399,219,87381
28283,BR,Adyl Telecom,398,217,86366
4800,ID,PT Aplikanusa Lintasarta,638,132,84216
1221,AU,Telstra Limited,500,163,81500
50509,RU,Transroute.Net,393,197,77421
2497,JP,Internet Initiative Japan Inc.,462,159,73458
136106,ID,PT Mega Akses Persada,691,103,71173
2764,AU,AAPT Limited,415,170,70550
29535,PL,Orange Polska Spolka Akcyjna,431,159,68529
7029,US,Windstream Communications LLC,331,198,65538
3326,UA,Datagroup PJSC,415,157,65155
50607,PL,Stowarzyszenie e-Poludnie,411,150,61650
11432,BR,Telium Telecomunicações Ltda,313,196,61348
5617,PL,Orange Polska Spolka Akcyjna,382,160,61120
54004,US,Cablevision Lightpath LLC,399,144,57456
17676,JP,SoftBank Corp.,442,126,55692
19551,US,Incapsula Inc,300,166,49800
28368,BR,Wirelink (Sobralnet),278,175,48650
23947,ID,PT Mora Telematika Indonesia Tbk,469,99,46431
52965,BR,1Telecom,291,147,42777
9583,IN,Sify Limited,533,78,41574
29226,RU,MasterTel,280,144,40320
10796,US,Charter Communications Inc,243,163,39609
29076,RU,Citytelecom LLC,305,128,39040
5650,US,Verizon (fka. Frontier),248,155,38440
33491,US,"Comcast Cable Communications, LLC",261,144,37584
7474,AU,SingTel Optus Pty Ltd,289,130,37570
22381,BR,SAMM (Megatelecom),256,144,36864
812,CA,Rogers Communications Canada Inc.,229,157,35953
62081,PL,Stowarzyszenie e-Poludnie,281,126,35406
8732,RU,JSC Comcor,235,149,35015
12912,PL,T-Mobile Polska S.A.,254,134,34036
13536,US,"FirstLight Networks, LLC",230,147,33810
3255,UA,Ukrainian Academic and Research Network,266,127,33782
13237,DE,euNetworks GmbH,317,101,32017
138840,ID,PT Parsaoran Global Datatrans,440,71,31240
49915,GB,Megaport (UK) Limited,297,104,30888
35297,UA,Dataline LLC,320,95,30400
264409,BR,Huge Networks,284,107,30388
7473,SG,Singapore Telecommunications Ltd,289,105,30345
20115,US,Charter Communications LLC,222,136,30192
16276,FR,OVH SAS,470,64,30080
263009,BR,FORTE TELECOM LTDA.,236,125,29500
2516,JP,KDDI Corporation,259,111,28749
53087,BR,TELY Ltda.,216,132,28512
53181,BR,K2 Telecom e Multimidia LTDA ME,227,123,27921
198949,IL,Radware,245,113,27685
34872,BE,Servperso Systems,251,109,27359
147094,ID,PT Mitra Visioner Pratama,529,50,26450
6730,CH,Sunrise GmbH,267,99,26433
55836,IN,Reliance Jio Infocomm Limited,395,66,26070
52925,BR,Ascenty Data Centers e Telecomunicações S/A,173,150,25950
12874,IT,Fastweb SpA,228,109,24852
23106,BR,American Tower Brasil,209,118,24662
11537,US,Internet2,409,57,23313
55410,IN,Vodafone Idea Ltd,370,62,22940
15164,US,Unite Private Networks LLC.,176,130,22880
1828,US,PacketFabric / Unitas Global,181,123,22263
702,US,Verizon Business - EMEA,186,119,22134
37282,NG,Mainone Cable Company,181,120,21720
13649,US,Flexential Colorado Corp.,164,132,21648
139341,SG,WeChat/QQ CDN,259,83,21497
8641,RU,"LLC ""Nauka-Svyaz""",198,108,21384
4657,SG,StarHub Ltd,159,134,21306
263903,BR,INFORBARRA TELECOM,204,104,21216
265269,BR,MEGA TELE INFORMATICA,186,112,20832
12552,SE,GlobalConnect (IP-Only),240,86,20640
54994,CA,Meteverse Limited,253,79,19987
7303,AR,Telecom Argentina S.A.,299,66,19734
11164,US,Internet2 I2PX,186,106,19716
201706,RU,SERVICEPIPE LLC,192,99,19008
3269,IT,TIM S.p.A. (fka. Telecom Italia S.p.A.),176,107,18832
45820,IN,Tata Teleservices ISP,336,56,18816
31027,DK,GlobalConnect A/S,235,80,18800
8708,RO,DIGI ROMANIA S.A.,482,39,18798
53667,US,FranTech Solutions,187,99,18513
262663,BR,METROFLEX TELECOMUNICACOES LTDA,192,95,18240
20001,US,Charter Communications Inc,162,112,18144
9121,TR,Turk Telekom,489,37,18093
28598,BR,MOB,181,98,17738
35320,UA,Eurotranstelecom Ltd,211,83,17513
21574,BR,Century Telecom Ltda,162,108,17496
37271,ZA,Workonline Communications(Pty) Ltd,167,104,17368
40264,US,Charter Communications LLC,163,105,17115
269194,BR,ST1 INTERNET,166,103,17098
11404,US,Wave Broadband,170,99,16830
43298,RU,Storm Networks LLC,221,75,16575
7049,AR,Silica Networks Argentina S.A.,337,49,16513
60171,ES,AFR-IX TELECOM S.A.,199,82,16318
32098,US,Flō Networks (Transtelco Inc.),181,88,15928
44324,US,MoeDove LLC,153,102,15606
8881,DE,1&1 Versatel GmbH,208,75,15600
269096,BR,NORTH TECNOLOGIA,167,93,15531
21949,CA,Beanfield Technologies Inc.,162,95,15390
28146,BR,MHNET TELECOM,163,92,14996
23005,US,"SWITCH, LTD",141,106,14946
24785,NL,Joint Transit (Broadband Hosting B.V.),297,49,14553
2856,GB,British Telecommunications,152,94,14288
20940,NL,Akamai International B.V.,250,56,14000
11427,US,Charter Communications Inc,144,97,13968
24429,CN,Alibaba Cloud,226,61,13786
26615,BR,TIM S/A,140,98,13720
9299,PH,PLDT (Philippine Long Distance Telephone Company),231,59,13629
13760,US,Uniti Fiber Holdings Inc.,153,89,13617
7717,ID,OpenIXP Route Servers,208,65,13520
52573,BR,Une Telecom Ltda,151,89,13439
1820,US,WNET TELECOM USA Corp.,163,81,13203
2152,US,CENIC - CalREN,124,104,12896
29119,ES,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,314,41,12874
20055,US,Ziply Fiber,172,74,12728
33667,US,"Comcast Cable Communications, LLC",133,94,12502
7015,US,"Comcast Cable Communications, LLC",144,86,12384
35661,FR,VIRTUA SYSTEMS SAS,251,48,12048
15694,PL,Atman Sp. z o.o.,144,83,11952
199995,UA,Omega Telecom LLC,188,63,11844
33651,US,"Comcast Cable Communications, LLC",139,85,11815
17378,US,"TierPoint, LLC",129,88,11352
11664,AR,Techtel LMDS Comunicaciones Interactivas S.A.,186,61,11346
41051,CH,Freetransit Project (Openfactory GmbH),119,94,11186
12302,RO,Vodafone Romania S.A.,215,51,10965
33287,US,"Comcast Cable Communications, LLC",129,83,10707
38195,AU,Superloop,198,54,10692
9009,RO,M247 Europe SRL,193,54,10422
34984,TR,Superonline Iletisim Hizmetleri A.S.,344,30,10320
7738,BR,V.tal (fka Telemar),133,77,10241
1680,IL,Cellcom Fixed Line Communication L.P,165,62,10230
33657,US,"Comcast Cable Communications, LLC",131,77,10087
6663,RO,Türk Telekom International,210,48,10080
131111,ID,PT Mora Telematika Indonesia Tbk,222,45,9990
4787,ID,PT Cyberindo Aditama,221,45,9945
55720,MY,Gigabit Hosting Sdn Bhd,353,28,9884
18678,CO,INTERNEXA S.A. E.S.P,145,68,9860
2907,JP,Science Information Network,114,86,9804
