asn,name,cc,cone,verdict,apnic_score,dirty_feeds,total_feeds,atlas_result,apnic_stdev,apnic_min90,apnic_max90
139155,STARBUCKS (CHINA) COMPANY LIMITED,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139156,Beijing wangshun qiantong network communications tech...,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139157,Business-intelligence of Oriental Nations Corporation Ltd.,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139158,"Beijing Feishu Technology Co., Ltd.",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139159,Guoxincloud,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139160,Shandong Huayun Interconnection Information Technolog...,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139161,Xinjiang Rural Credit Union,CN,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139162,"Beijing Xiaoju Science and Technology Co., Ltd.",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139163,"Beijing Xiaoju Science and Technology Co., Ltd.",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139196,IME Group Pvt. Ltd,NP,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139197,Thunder Network,BD,0,STUB: VULNERABLE STABLE,0.0,1,1,,-1.0,-1.0,-1.0
139198,The National Institute of Educational Testing Service...,TH,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139199,Maxima Digital Pvt. Ltd.,IN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139200,Arthur D. Riley and Company Limited,NZ,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139201,Jiangxi Jiujiang IDC,CN,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139170,Research Institute Of Petroleum Exploration and Development,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139171,Research Institute Of Petroleum Exploration and Development,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139172,"Hangzhou Woodnn Technology Co., Ltd.",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139173,"Hangzhou Quuyun Network Technology Co., Ltd.",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139174,CHINA COSCO SHIPPING CORPORATION LIMITED,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139175,CHINA COSCO SHIPPING CORPORATION LIMITED,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139176,Beijing fast exchange Network Technology Development ...,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139177,New Oriental Education & Technology Group Ltd.,CN,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139178,Rural Credit Banks Funds Clearing Center,CN,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0
139179,"China Pacific Insurance (Group) Co.,Ltd.",CN,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0
139212,Modular Investments Company Pty Ltd,AU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139213,"Hillview Cable Systems, inc.",PH,0,STUB: VULNERABLE STABLE,0.0,1,2,,-1.0,-1.0,-1.0
139214,Cloud4x Enterprise Systems Pty Ltd,AU,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139216,Htroy Network Research Limited,CN,0,STUB: VULNERABLE STABLE,-1.0,4,9,,-1.0,-1.0,-1.0
139217,Royal Capital Ltd,BD,0,STUB: VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
139218,Jhelum Vision Cable Network,PK,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139186,"China Central Depository & Clearing Co., Ltd.",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139187,WUHAN TWOTEN CULTURAL COMMUNICATION COMPANY LIMITED,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139188,"China Merchants Bank Co., Ltd.",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139189,"Beijing Yu Jia Heng Tong Communications and Information Co., Ltd.",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139190,Google Cloud Indonesia,SG,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139191,CLOUDHM @SUPERNAP Thailand,TH,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139192,Zoom Online,BD,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139193,Mainstream Group Holdings Ltd,AU,0,STUB: VULNERABLE STABLE,-1.0,1,2,,-1.0,-1.0,-1.0
139194,INFUSION TECH,BD,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139195,Seans Media Pvt Ltd,IN,0,STUB: VULNERABLE STABLE,8.97,2,2,,-1.0,-1.0,-1.0
139229,ROBLOX CORPORATION,HK,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139230,HAMS Garments Ltd,BD,0,STUB: VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
139231,Zero,CN,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139232,GUILD GROUP HOLDINGS LIMITED,AU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139234,ALLSCRIPTS (INDIA) LLP,IN,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139235,Truxgo S. R.L. de C.V.,MX,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139202,Power Media,BD,0,STUB: VULNERABLE STABLE,0.4,1,1,,-1.0,-1.0,-1.0
139203,Guizhou GuiAn IDC,CN,0,STUB: VULNERABLE STABLE,0.03,1,1,,-1.0,-1.0,-1.0
139204,RACITELCOM Inc.,PH,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139205,PT Jala Informatika Nusantara,ID,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139206,Pan Asia Majestic Eagle Ltd,MM,0,STUB: VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
139207,Serverworld,AU,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139208,SA Online,BD,0,STUB: VULNERABLE STABLE,1.1,1,1,,-1.0,-1.0,-1.0
139209,"Flextronics Ltd. Zhu Feng Road,",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139210,"Flex Ltd. 898 Xinling Road, Pudong New Area,",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139211,"Flex Ltd. STT (Tata) Colo, 226, Ambattur Red Hills Rd, Kallikuppam, Ambattur, Chennai, Tamil Nadu 600053 India",IN,0,STUB: VULNERABLE STABLE,-1.0,3,3,,-1.0,-1.0,-1.0
139246,Twin Towns Services Club Ltd,AU,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139247,pppwaw,AP,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139248,Dover Digital Pty Ltd,AU,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139249,ENMOE,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139250,Mesiniaga Berhad,MY,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139251,Jahangirnagar University,BD,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139219,Helium Communication PVT LTD,PK,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139220,Sichuan Chuanxn IDC,CN,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139221,AUVERA TECHNOLOGY GROUP PTY LTD,AU,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139222,City of Wanneroo,AU,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139223,NTECH COMMUNICATION,BD,0,STUB: VULNERABLE STABLE,1.04,1,1,,-1.0,-1.0,-1.0
139224,Limpid ICT Solution Pvt. Ltd,NP,0,STUB: VULNERABLE STABLE,0.06,1,1,,-1.0,-1.0,-1.0
139225,Whatbox Inc.,SG,0,STUB: PASSIVE (Clean Pipe),-1.0,0,3,,-1.0,-1.0,-1.0
139226,"Brother Telecom (Cambodia) co., Ltd.",HK,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139227,Hello IT,BD,0,STUB: VULNERABLE STABLE,0.0,1,1,,-1.0,-1.0,-1.0
139228,Streamline Servers Limited,HK,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139262,HKIC Tech Limited,HK,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139263,Universite de la Polynesie Francaise,PF,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139264,Zhongfu Li,SG,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139265,V&M INFORMATION TECHNOLOGY INC.,PH,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139266,"Guangzhou Tiansui Information Technology Co., Ltd.",CN,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139267,"Glexia, Inc.",AU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139236,Local Government Engineering Department (LGED),BD,0,STUB: VULNERABLE STABLE,0.0,1,1,,-1.0,-1.0,-1.0
139237,Nepal Police,NP,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139238,Infinity Broadband INC.,PH,0,STUB: VULNERABLE STABLE,0.28,2,2,,-1.0,-1.0,-1.0
139239,BograInfo.com,BD,0,STUB: VULNERABLE STABLE,0.52,1,1,,-1.0,-1.0,-1.0
139240,Starch Works,NL,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139241,Avrotech Sdn Bhd,MY,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139242,"Cloudflare Sydney, LLC",US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0
139243,"HONGKONG GLOBAL NETWORK TELECOMMUNICATIONS CO., LIMITED",HK,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139244,ICTOUCH PTY LTD,AU,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139245,3Technology,BD,0,STUB: VULNERABLE STABLE,0.23,1,1,,-1.0,-1.0,-1.0
139278,Data Edge Limited,BD,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139279,OPTIMISED SOLUTIONS,AU,0,STUB: VULNERABLE STABLE,-1.0,3,3,,-1.0,-1.0,-1.0
139280,WETUBE NETWORK,BD,0,STUB: VULNERABLE STABLE,0.35,1,1,,-1.0,-1.0,-1.0
139281,Equinix Korea LLC,KR,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139282,Novus Network,BD,0,STUB: VULNERABLE STABLE,0.26,2,2,,-1.0,-1.0,-1.0
139283,Touch Online,BD,0,STUB: VULNERABLE STABLE,0.0,2,2,,-1.0,-1.0,-1.0
139252,"Zhong Shan Shi Ba Ai Yun Ji Suan Co., Limited",CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139253,FOIT Group PTY LTD,AU,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139254,Ripa Online,BD,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139255,"U-NEXT Co.,Ltd.",JP,0,STUB: ACTIVE LOCAL ROV,99.46,0,1,,0.3,98.8,100.0
139256,National Information Technology Center,NP,0,STUB: VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
139257,PT Adhifa Nasha Saqeena,ID,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139258,"TURBOTECH CO., LTD.",KH,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139259,"ADC GROUP CO.,LIMITED",HK,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139260,u-blox Lahore Pvt Ltd.,PK,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139261,Metrolink Business Group Pvt Ltd,NP,0,STUB: VULNERABLE STABLE,0.0,1,1,,-1.0,-1.0,-1.0
139294,Skynet Broadband Network,BD,0,STUB: VULNERABLE STABLE,0.35,2,2,,-1.0,-1.0,-1.0
139295,True Universal Convergence co. ltd,TH,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139296,Bangladesh Water Development Board,BD,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139297,"Lao International Technology Service Sole Co., Ltd",LA,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139298,Aptient Consulting Pty Ltd,AU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139299,FGHRSH STUDIO,HK,0,STUB: VULNERABLE STABLE,-1.0,1,4,,-1.0,-1.0,-1.0
139268,Global Link Internet Limited,HK,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139269,Samsung R&D Institute India-Bangalore Private Limited,IN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139270,ACCESS COMMUNICATION,BD,0,STUB: VULNERABLE STABLE,0.24,1,1,,-1.0,-1.0,-1.0
139271,Simpson Grierson Limited,NZ,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139272,EASTERN INSTITUTE OF TECHNOLOGY LIMITED,NZ,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139273,HENRY SCHEIN REGIONAL PTY LIMITED,AU,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139274,American Express Australia Pty Ltd,AU,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139275,Watercare Services Limited,NZ,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139276,Aflah Communication,BD,0,STUB: VULNERABLE STABLE,0.0,2,2,,-1.0,-1.0,-1.0
139277,Solomon Islands Government ICT Support Department,SB,0,STUB: VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
139313,AYUDHYA CAPITAL SERVICES COMPANY LIMITED,TH,0,STUB: VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
139315,NEWTREND I.T. SPECIALISTS PTY LTD,AU,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
694,"Headquarters, USAISC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
695,SWITCH,CH,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
696,SWITCH,CH,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
697,Gesellschaft fuer Mathematik und Datenverarbeitung,EU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139284,OCTANE NETWORKS PTY LTD,AU,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139285,"Wingel cooperation co.,Ltd",KH,0,STUB: VULNERABLE STABLE,0.0,3,3,,-1.0,-1.0,-1.0
139286,Equinix Korea LLC,KR,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139287,The Data Exchange Network Limited,AU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139288,Twish Tech,AU,0,STUB: VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
139289,PFD Food Services Pty Ltd,AU,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139290,Coal Services Pty Ltd,AU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139291,INFINITIUM HOLDINGS PTE. LTD.,SG,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139292,Jubilee Life Insurance,PK,0,STUB: VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
139293,UFO Network Limited,HK,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139318,Airbrils Private Limited,IN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139319,BEE ONLINE,BD,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139320,Phonon Communications Pvt Ltd,IN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139321,Dennis Przytarski,DE,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139322,Rio Tinto IS&T,AU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139323,Rio Tinto IS&T,CA,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139300,FUTURE NETWORK,BD,0,STUB: VULNERABLE STABLE,0.64,2,2,,-1.0,-1.0,-1.0
139301,Cloudcall Ltd,AU,0,STUB: VULNERABLE STABLE,-1.0,1,3,,-1.0,-1.0,-1.0
139302,Ashiq Cable Network (Pvt.) Limited,PK,0,STUB: VULNERABLE STABLE,2.03,1,1,,-1.0,-1.0,-1.0
139303,APNIC ASN block,BD,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139305,THRYVE GROUP PTY LTD,AU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139308,Forhosting,NL,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139309,Tata Communications (CANADA) Ltd.,CA,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
139310,Mackenzie Agricultural Technologies,NZ,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139311,Stella IT,KR,0,STUB: VULNERABLE STABLE,-1.0,1,2,,-1.0,-1.0,-1.0
139312,MYKRIS NET SDN BHD,MY,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139334,Max Infrastructure Limited,BD,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139335,Sreejon Online.Com,BD,0,STUB: VULNERABLE STABLE,0.53,2,2,,-1.0,-1.0,-1.0
139336,Freedom Internet Ltd.,NZ,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
139337,Ozhosting.com Pty Ltd,AU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139338,Cyber Planet,BD,0,STUB: VULNERABLE STABLE,0.58,2,2,,-1.0,-1.0,-1.0
139339,"PT CONNECTION IT CO., LTD",TH,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
698,University of Illinois,US,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
699,Amazon Technologies Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0
700,The Boeing Company,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
704,Verizon Business,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
705,Verizon Business,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
706,"Advanced Workstations Division, IBM Corporation",US,0,STUB: VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
707,Air Force Systems Networking,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
708,Sentinel Byte Community,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
709,Royal Air Force Base,EU,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139316,Hubei Huanggang IDC,CN,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
139351,AERO COMMUNICATIONS BROADBAND PVT. LTD,PK,0,STUB: VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
139352,CBRE Pty Limited,AU,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0
139354,Seabird Computer,BD,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0
