asn,name,cc,cone,verdict,apnic_score,dirty,total,atlas_verdict,peers_cloudflare
144953,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144954,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14490,Nexavo Ltd.,CA,0,VULNERABLE (No Coverage),-1.0,2,2,,
144956,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144957,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144958,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144959,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14496,"Agilent Technologies, Inc.",US,0,SECURE (Full Coverage),-1.0,0,1,,
144960,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144961,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144962,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144963,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144935,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144936,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144937,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144938,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144955,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
145005,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144979,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14498,"Dynetics, Inc.",US,0,PARTIAL (Mixed Feeds),-1.0,1,2,,
144980,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144981,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144982,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144983,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144984,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144985,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144986,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144987,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144988,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144972,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14499,ALORICA INC,US,0,VULNERABLE (No Coverage),-1.0,4,4,,
144990,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144991,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144992,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144964,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144965,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144966,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144967,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144968,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144969,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14497,"Bit Refinery, LLC",US,0,PARTIAL (Mixed Feeds),-1.0,1,2,,
144970,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144971,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144989,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144905,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144906,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144907,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144908,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144909,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14491,Fidelity and Guaranty Life Business Services,XX,0,DEAD / INACTIVE,-1.0,0,0,,
144910,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144911,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144912,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144913,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144914,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144915,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144939,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144917,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144918,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144919,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144891,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144892,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144893,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144894,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144895,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144896,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144897,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144898,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144899,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
1449,"PayPal, Inc.",US,0,PARTIAL (Mixed Feeds),-1.0,2,3,,
144916,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14494,"eBay, Inc",XX,0,DEAD / INACTIVE,-1.0,0,0,,
144940,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144941,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144942,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144943,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144944,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144945,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144946,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144947,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144948,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144949,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144920,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144934,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144922,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144923,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144924,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144925,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144926,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144927,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144928,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144929,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14493,American Osteopathic Association,XX,0,DEAD / INACTIVE,-1.0,0,0,,
144930,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144931,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144932,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144933,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144921,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144686,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144687,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144688,China Education and Research Network (CERNET),XX,0,DEAD / INACTIVE,-1.0,0,0,,
14466,SAP America Inc.,US,0,SECURE (Full Coverage),-1.0,0,1,,
144660,China Education and Research Network (CERNET),XX,0,DEAD / INACTIVE,-1.0,0,0,,
144661,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144662,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144663,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144664,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144665,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144666,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144667,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144795,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144669,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14467,KUA.net,US,0,SECURE (Full Coverage),-1.0,0,1,,
144670,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144671,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144672,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144673,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144645,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144646,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144647,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144648,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144649,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14465,HITN,US,0,SECURE (Full Coverage),-1.0,0,2,,
144668,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144690,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144691,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144692,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144693,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144694,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144695,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144696,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144697,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144698,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144699,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
1447,"Chipotle Mexican Grill, INC",US,0,PARTIAL (Mixed Feeds),-1.0,1,2,,
14470,CITY OF FALLS CHURCH,US,0,SECURE (Full Coverage),-1.0,0,2,,
144685,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144701,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144674,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144675,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144676,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144677,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144678,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144679,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14468,Rider University,XX,0,DEAD / INACTIVE,-1.0,0,0,,
144680,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144681,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144682,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144683,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144684,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144700,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144618,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144619,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14462,"Acadiana Broadband, LLC",US,0,VULNERABLE (No Coverage),-1.0,1,1,,
144620,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144621,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144622,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144623,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144624,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144625,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144626,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144627,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144628,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144650,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144600,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144601,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144602,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144603,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144604,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144605,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144606,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144607,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144608,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144609,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144610,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144611,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144612,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144629,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144651,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144652,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144653,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144654,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144655,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144656,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144657,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144658,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144659,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144630,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144631,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144632,China Education and Research Network (CERNET),XX,0,DEAD / INACTIVE,-1.0,0,0,,
144617,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144634,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144635,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144636,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144637,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144638,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144639,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14464,Rhode Island Network for Educ. Technology,US,0,VULNERABLE (No Coverage),0.0,1,1,,
144640,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144641,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144642,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144643,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144644,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144616,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144633,China Education and Research Network (CERNET),CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144761,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144762,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144763,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144764,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144765,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144766,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144767,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144768,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144769,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144770,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144771,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144772,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14469,Swishmail,US,0,PARTIAL (Mixed Feeds),-1.0,1,2,,
144774,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144775,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144746,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144747,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144748,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144749,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
14475,D4 Networks L.L.C.,XX,0,DEAD / INACTIVE,-1.0,0,0,,
144750,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144751,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144752,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144753,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144754,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144755,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144773,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144796,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144797,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144798,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144799,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
1448,United Cooperative Services,US,0,SECURE (Full Coverage),0.0,0,3,,
14480,County of Orangeburg,US,0,PARTIAL (Mixed Feeds),60.12,1,3,,
144800,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144801,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144802,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144803,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144776,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144777,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
144760,APNIC ASN block,CN,0,VULNERABLE (No Coverage),-1.0,1,1,,
